Dataset Sentence ID,CTranslate Sentence ID,Cosine Similarity
361,884,0.9992017
362,885,1.0
363,886,0.9960004
364,887,0.9285685
365,888,0.9991789
366,889,0.9952119
367,890,1.0000001
368,891,0.999699
369,892,1.0
370,893,1.0000001
371,894,1.0000002
372,895,0.99896556
373,896,0.9995577
374,897,0.9998494
375,898,0.9999999
376,899,0.99906355
377,900,0.9937154
378,901,0.9999999
379,902,0.9999998
380,903,0.9999999
381,904,1.0000002
382,905,0.99173796
383,906,0.99971235
384,907,0.99952346
385,908,0.9949957
386,909,0.99999994
387,910,1.0000001
388,911,0.99999994
389,912,0.9985557
390,913,0.9994295
391,914,0.99882156
392,915,1.0000001
393,916,0.9994751
394,917,1.0
395,918,0.9994722
396,919,1.0000001
397,920,0.9996892
398,921,0.9977379
399,922,0.9999999
400,923,1.0000002
401,924,0.9999999
402,925,0.9984656
403,926,1.0
404,927,0.9994751
405,928,0.9986909
406,929,0.9985814
407,930,1.0000001
408,931,1.0000002
409,932,0.9966257
410,933,0.9962973
411,934,0.99930453
412,935,0.9965718
413,936,0.9994751
414,937,0.9951117
415,938,1.0000001
416,939,0.9992438
417,940,1.0
418,941,1.0
419,942,0.9980346
420,943,0.99999976
421,944,0.9999999
422,945,0.99860626
423,946,0.99999976
424,947,0.994996
425,948,0.9995332
426,949,1.0
427,950,0.9998074
428,951,1.0
429,952,1.0
430,953,0.9979604
431,954,0.99999994
432,955,1.0000001
433,956,0.99982697
434,957,0.9991323
435,958,1.0
436,959,0.9987353
437,960,1.0
438,961,0.99999994
439,962,0.9997595
440,963,0.99757564
441,964,0.9988281
442,965,0.9999998
443,966,0.99951726
444,967,0.9994771
445,968,1.0000001
446,969,0.99999994
447,970,0.9982379
448,971,1.0000001
449,972,0.99999994
450,973,0.99486154
451,974,0.9999998
452,975,0.99866444
453,976,0.9964947
454,977,0.9955044
455,978,0.999085
456,979,1.0
457,980,0.9997558
458,981,0.9995588
459,982,1.0000001
460,983,0.9989076
461,984,1.0000001
462,985,0.9965429
463,986,0.99949765
464,987,1.0
465,988,0.99945
466,989,0.9976283
467,990,1.0000002
468,991,0.99720293
469,992,0.99842346
470,993,0.9990546
471,994,1.0000001
472,995,0.9999999
473,996,1.0000002
474,997,0.99999994
475,998,0.9694349
476,999,0.9994992
477,1000,1.0
478,1001,0.9995371
479,1002,0.9997935
480,1003,0.9986925
481,1004,0.99936336
482,1005,0.9999999
483,1006,0.99999994
484,1007,0.99870276
485,1008,0.99999994
486,1009,1.0000001
487,1010,0.9999999
488,1011,0.9999999
489,1012,0.9999999
490,1013,0.99999994
491,1014,0.9138446
492,1015,1.0000001
493,1016,0.99934006
494,1017,0.99985576
495,1018,0.9999082
496,1019,0.9999998
497,1020,0.99999994
498,1021,0.999286
499,1022,0.9995262
500,1023,0.98487574
501,1024,0.9993434
502,1025,0.99970067
503,1026,0.99971247
504,1027,0.999261
505,1028,0.9999999
506,1029,0.9995504
507,1030,0.99925065
508,1031,0.99828666
509,1032,0.99984294
510,1033,0.9991768
511,1034,0.99877524
512,1035,0.99873465
513,1036,0.99854994
514,1037,0.9983655
515,1038,0.99920726
516,1039,0.9977276
517,1040,0.99805576
518,1041,1.0000001
519,1042,0.99943817
520,1043,0.9999999
521,1044,0.9990361
522,1045,0.9994974
523,1046,1.0000001
